"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"Late-NK-cells","gdT_2",0,0,-0.250709426790321,8,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","gdT_3",0,0,-0.35079465964296,69,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","gdT_4",0,0,-0.205489229264202,12,"AUCell","Standard",TRUE,"percentile"
"Late-NK-cells","pDC",36,76,0.424316680586127,456,"AUCell","Standard",TRUE,"percentile"
"Monocytes","ASDC_mDC",0,0,0.214185256274335,1,"AUCell","Standard",TRUE,"percentile"
"Monocytes","CD14 Mono",0,65,0.472459931480292,174,"AUCell","Standard",TRUE,"percentile"
"Monocytes","CD16 Mono",0,4,0.228651436379775,58,"AUCell","Standard",TRUE,"percentile"
"Monocytes","Doublet",0,3,1.87518327561997,3,"AUCell","Standard",TRUE,"percentile"
"Monocytes","HSPC",0,3,0.191705949274973,23,"AUCell","Standard",TRUE,"percentile"
"Monocytes","NK Proliferating",0,0,0.0156045433613535,2,"AUCell","Standard",TRUE,"percentile"
"Monocytes","NK_2",0,0,-0.00597694146656247,2,"AUCell","Standard",TRUE,"percentile"
"Monocytes","NK_4",0,0,0.0593885629402907,2,"AUCell","Standard",TRUE,"percentile"
"Monocytes","NK_CD56bright",0,0,-0.0719945482926763,5,"AUCell","Standard",TRUE,"percentile"
"Monocytes","Platelet",0,9,9.17072572788721,9,"AUCell","Standard",TRUE,"percentile"
"Monocytes","cDC1",0,1,0.24306407769874,4,"AUCell","Standard",TRUE,"percentile"
"Monocytes","cDC2_1",0,30,0.50022490498032,74,"AUCell","Standard",TRUE,"percentile"
"Monocytes","cDC2_2",0,45,0.354794171192607,290,"AUCell","Standard",TRUE,"percentile"
"Monocytes","dnT_2",0,0,-0.187634043974919,1,"AUCell","Standard",TRUE,"percentile"
"Monocytes","pDC",0,2,0.776752978287393,3,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","B intermediate kappa",0,0,-0.34945755522729,326,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","B intermediate lambda",0,0,-0.311491847846939,492,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","B memory kappa",0,0,-0.332000455627402,370,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","B memory lambda",0,0,-0.339946537616541,236,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","B naive kappa",1,0,-0.363910984907545,3874,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","B naive lambda",2,0,-0.347104531286978,2487,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","CD14 Mono",0,0,0.114817268577456,2,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","CD16 Mono",0,0,0.123822492462485,1,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","Doublet",1,0,5.57415661763629,1,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","NK Proliferating",0,0,-0.105344929163441,1,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","NK_1",0,0,-0.124250419469741,17,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","NK_2",0,0,0.112436577205551,3,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","NK_3",0,0,0.0570596257286451,1,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","NK_4",0,0,0.250671939256782,2,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","NK_CD56bright",0,0,0.24865352700669,1,"AUCell","Standard",TRUE,"percentile"
"Naive-B-cells","Platelet",2,0,4.99564861426352,3,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","CD14 Mono",11,32,0.240995932935274,256,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","Doublet",0,1,0.103638369961557,3,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","HSPC",0,0,-0.240112762477333,1,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","NK_1",0,0,0.189343259350115,1,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","NK_2",0,0,0.0561280508439869,2,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","NK_3",0,0,0.224432580005575,1,"AUCell","Standard",TRUE,"percentile"
"Neutrophils","Platelet",1,3,8.2611291099522,4,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","CD14 Mono",1,0,0.331936321695136,5,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","CD16 Mono",3,135,0.281486366274867,1080,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","Doublet",0,34,2.04850795832667,42,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","NK Proliferating",0,0,0.222569430236259,1,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","NK_1",0,0,-0.38792264417644,2,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","NK_2",0,0,0.0724500191356031,16,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","Platelet",0,1,9.15761467395498,1,"AUCell","Standard",TRUE,"percentile"
"Non-classical-Monocytes","pDC",0,0,0.458723663497122,2,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","ASDC_mDC",0,0,0.321626892971585,1,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD14 Mono",1,1,0.49138053862042,6,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD16 Mono",0,0,0.0694185191984444,5,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 CTL",4,0,-0.272951367962452,1314,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 Naive",4,0,-0.429830662972929,15078,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 Proliferating",0,0,-0.190022697525325,13,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TCM_1",1,0,-0.329916808773472,6008,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TCM_2",0,0,-0.244703028934312,395,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TCM_3",3,0,-0.304454773600038,5363,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TEM_1",1,0,-0.340135645424682,1312,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TEM_2",0,0,-0.327114000048759,332,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TEM_3",4,0,-0.320629993578567,1691,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD4 TEM_4",0,0,-0.285665049198446,72,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD8 Naive",0,0,-0.769557821924766,1,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD8 Proliferating",0,0,-0.183331055221974,7,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD8 TCM_2",0,0,-0.210612891129822,1,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD8 TCM_3",0,0,-0.234833838130936,6,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD8 TEM_2",0,0,-0.0783292575083523,1,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","CD8 TEM_4",0,0,-0.072222266597815,3,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","Doublet",0,0,-0.40375941721563,20,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","HSPC",1,0,0.263791618882386,4,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","MAIT",1,0,-0.300286904981903,555,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","NK Proliferating",0,0,-0.209914209966329,4,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","NK_1",0,0,0.0828331975375231,3,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","NK_2",0,0,-0.153165773242564,4,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","NK_3",1,0,0.325974242433323,2,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","NK_CD56bright",0,0,0.130343516655093,1,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","Platelet",1,3,1.579234721086,17,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","Treg Memory",1,0,-0.356650692122207,907,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","Treg Naive",0,0,-0.444775465985296,1033,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","cDC2_1",0,0,0.301753295432209,2,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","cDC2_2",0,0,0.392737109167164,5,"AUCell","Standard",TRUE,"percentile"
"T-cells-CD4","dnT_1",0,0,-0.371969424276668,8,"AUCell","Standard",TRUE,"percentile"
