"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"DCs","CD8 TCM_3",0,0,-0.447618297102877,3,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_1",0,0,-0.409098621488493,7,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_2",0,0,-0.315494006100881,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_4",0,0,-0.208933252399188,4,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_5",0,0,-0.0213686526768152,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","Doublet",0,13,1.65073577587586,16,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","HSPC",0,0,-0.260985815823758,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","MAIT",0,0,-0.468616360450365,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","NK Proliferating",0,0,-0.549103417666417,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","NK_1",0,0,-0.540682966997192,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","NK_3",0,0,-0.0937480808162625,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","NK_CD56bright",0,0,-0.240761861529337,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","Platelet",2,15,7.94833214497958,17,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","Treg Memory",0,0,-0.411659141403565,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","Treg Naive",0,0,-0.393546070375335,4,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","cDC2_1",0,0,0.101536187120186,8,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","cDC2_2",0,0,0.0779601787475738,15,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","dnT_2",0,0,-0.411486682255135,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","gdT_1",0,0,-0.156418486671356,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","gdT_2",0,0,-0.0710047591782624,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","gdT_3",0,0,-0.523569035660818,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","pDC",0,0,0.0931235752856344,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD16 Mono",0,0,0.296075722299733,5,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD4 Naive",0,0,-0.213970920683897,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD4 TCM_1",0,0,-0.542278427681032,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_1",0,0,-0.619760849795451,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_2",0,0,-0.213805879751719,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_4",0,0,-0.2226347099765,5,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_5",0,0,-0.360975761615566,16,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK Proliferating",0,0,-0.312292853808572,21,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK_1",0,0,-0.184272066818696,559,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK_2",0,0,-0.0392257276381317,215,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK_3",0,0,-0.161830762689951,37,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK_4",0,0,-0.301305871989839,17,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK_CD56bright",0,0,-0.163754851688781,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
